path,category,decision,status,ordinary_default_effect,qualification,evidence,notes
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage4_p4_h5/calibration_summary.json,case091_evidence,include,accepted_resource_negative,unchanged,hash_bound,p4_watchdog,no_factorization
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage5_equal_accuracy/d1_source_compatibility_audit.json,case091_evidence,include,review_v6_f0,unchanged,hash_bound,source_audit,p3h10_and_p3h7p5
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage5_equal_accuracy/full3d_reference_p3_h10.json,case091_evidence,include,accepted_accuracy_negative,unchanged,descriptor,d1_summary,hash_bound
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage5_equal_accuracy/full3d_reference_p3_h7p5.json,case091_evidence,include,accepted_fixed_p_clear_success,unchanged,descriptor,d1_summary,hash_bound
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage5_equal_accuracy/reduced_equal_accuracy_summary.json,case091_evidence,include,accepted_fixed_p_clear_success,unchanged,hash_bound,d1_tests,review_v6_status
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage5_equal_accuracy/resource_matrix.csv,case091_evidence,include,review_v6_calibration,unchanged,planning_guard,resource_tests,reduced_matrix
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage5_equal_accuracy/resource_matrix.json,case091_evidence,include,review_v6_calibration,unchanged,planning_guard,resource_tests,prediction_bias
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage5_equal_accuracy/source_compatibility_audit.json,case091_evidence,include,accepted_source_compatibility,unchanged,hash_bound,source_audit,p3h5
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/variable_p_capability_audit.json,case091_evidence,include,accepted_fail_closed,unchanged,hash_bound,d2_tests,no_native_variable_p
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/task033_reduced_scope_completion.json,completion_evidence,include,review_v6_f0,unchanged,hash_bound,reduced_checker,reduced_complete
benchmarks/run_task032_phase6_augmented.py,qualified_runner,include,accepted_p3_wiring,unchanged,qualified_with_limits,p3h5_closure,adaptive_flag_fails_without_excluded_prototype
benchmarks/run_task033_case090_matrix.py,qualified_runner,include,accepted_stage1,unchanged,test_backed,case090_tests,analytic_planner
benchmarks/run_task033_case090_pde_core.py,qualified_runner,include,accepted_stage1,unchanged,test_backed,case090_tests,pde_core
benchmarks/run_task033_case090_watchdog.py,qualified_runner,include,accepted_stage1,unchanged,test_backed,watchdog_tests,external_watchdog
benchmarks/run_task033_full3d_watchdog.py,qualified_runner,include,accepted_resource_gate,unchanged,test_backed,p4_record,p3p4_watchdog
benchmarks/run_task033_hybrid_funnel.py,qualified_runner,include,accepted_phaseC,unchanged,test_backed,phaseC_tests,hybrid_funnel
benchmarks/run_task033_matched_trace.py,qualified_runner,include,accepted_phaseB,unchanged,test_backed,phaseB_tests,p3p4_trace
benchmarks/run_task033_memory_watchdog.py,qualified_runner,include,accepted_resource_gate,unchanged,test_backed,watchdog_tests,qep_hybrid_watchdog
benchmarks/run_task033_phaseC.py,qualified_runner,include,accepted_phaseC,unchanged,test_backed,phaseC_tests,phaseC_aggregate
benchmarks/run_task033_qep_matrix.py,qualified_runner,include,accepted_qep,unchanged,test_backed,qep_tests,measurement_runner
benchmarks/run_task033_reduced_equal_accuracy.py,qualified_runner,include,review_v6_f0,unchanged,test_backed,d1_tests,reduced_aggregate
benchmarks/run_task033_resource_matrix.py,qualified_runner,include,review_v6_calibration,unchanged,planning_guard,resource_tests,no_pde
benchmarks/run_task033_source_compatibility.py,qualified_runner,include,review_v6_f0,unchanged,test_backed,source_tests,descriptor_only_audit
benchmarks/run_task033_variable_p_audit.py,qualified_runner,include,accepted_fail_closed,unchanged,test_backed,d2_tests,no_prototype
benchmarks/run_task033_reduced_scope_completion.py,completion_checker,include,review_v6_f0,unchanged,fail_closed,completion_tests,no_pde
benchmarks/task033_case090_pde_core.py,qualified_aggregator,include,accepted_stage1,unchanged,test_backed,case090_tests,pde_core_contract
benchmarks/task033_hybrid_funnel.py,qualified_aggregator,include,accepted_phaseC,unchanged,test_backed,phaseC_tests,funnel
benchmarks/task033_matched_trace_qualification.py,qualified_aggregator,include,accepted_phaseB,unchanged,test_backed,phaseB_tests,block_invariants
benchmarks/task033_phaseC.py,qualified_aggregator,include,accepted_phaseC,unchanged,test_backed,phaseC_tests,source_and_resource_gate
benchmarks/task033_qep_measurement.py,qualified_aggregator,include,accepted_qep,unchanged,test_backed,qep_tests,measurements
benchmarks/task033_qep_qualification.py,qualified_aggregator,include,accepted_qep,unchanged,test_backed,qep_tests,qualification
benchmarks/task033_qep_qualification_schema.json,qualified_schema,include,accepted_qep,unchanged,test_backed,qep_tests,schema
benchmarks/task033_reduced_equal_accuracy.py,qualified_aggregator,include,review_v6_f0,unchanged,hash_bound,d1_tests,cross_record_semantics
benchmarks/task033_resource_gates.py,qualified_aggregator,include,review_v6_calibration,unchanged,planning_guard,resource_tests,prediction_bias_frozen
benchmarks/task033_source_compatibility.py,qualified_aggregator,include,review_v6_f0,unchanged,hash_bound,source_tests,d1_source_splits
benchmarks/task033_variable_p_capability.py,qualified_aggregator,include,accepted_fail_closed,unchanged,fail_closed,d2_tests,api_audit
benchmarks/task033_watchdog_launch.py,qualified_aggregator,include,accepted_resource_gate,unchanged,test_backed,watchdog_tests,launch_guard
benchmarks/task033_reduced_scope_completion.py,completion_checker,include,review_v6_f0,unchanged,hash_bound,completion_tests,exact_record
src/common/analytic_fields_3d.py,qualified_kernel,include,accepted_case090,unchanged,test_backed,case090_tests,analytic_fixture
src/common/config_3d.py,qualified_kernel,include,accepted_high_order,unchanged,test_backed,task33_tests,degree_wiring
src/common/high_order_quadrature.py,qualified_kernel,include,accepted_high_order,unchanged,test_backed,task33_tests,quadrature_policy
src/constraints/cross_section_floquet.py,qualified_kernel,include,accepted_qep,unchanged,test_backed,qep_tests,sparse_constraints
src/constraints/floquet_3d.py,qualified_kernel,include,accepted_high_order,unchanged,test_backed,task33_tests,topology_backend
src/constraints/floquet_3d_high_order.py,qualified_kernel,include,accepted_high_order,unchanged,test_backed,task33_tests,high_order_backend
src/constraints/high_order_floquet_trace.py,qualified_kernel,include,accepted_high_order,unchanged,test_backed,task33_tests,entity_transforms
src/coupling/hybrid_internal_modes.py,qualified_kernel,include,accepted_hybrid,unchanged,test_backed,hybrid_tests,high_order_modes
src/coupling/modal_trace_projection.py,qualified_kernel,include,accepted_phaseB,unchanged,test_backed,phaseB_tests,trace_projection
src/geometry/mesh_builder_3d.py,qualified_kernel,include,accepted_high_order,unchanged,test_backed,task33_tests,axis_and_degree_support
src/modes/cross_section_spaces.py,qualified_kernel,include,accepted_qep,unchanged,test_backed,qep_tests,high_order_spaces
src/modes/mode_classification.py,qualified_kernel,include,accepted_qep,unchanged,test_backed,qep_tests,block_tracking
src/modes/quadratic_beta_eigenproblem.py,qualified_kernel,include,accepted_qep,unchanged,test_backed,qep_tests,high_order_qep
src/solvers/common_3d_case_flow.py,qualified_kernel,include,accepted_high_order,unchanged,test_backed,task33_tests,degree_flow
src/solvers/common_3d_fields.py,qualified_kernel,include,accepted_high_order,unchanged,test_backed,task33_tests,field_sampling
src/solvers/common_3d_postprocess.py,qualified_kernel,include,accepted_high_order,unchanged,test_backed,task33_tests,observable_output
src/solvers/dtn_port_3d.py,qualified_kernel,include,accepted_high_order,unchanged,test_backed,task33_tests,high_order_dtn
src/solvers/hybrid_local_dtn.py,qualified_kernel,include,accepted_hybrid,unchanged,test_backed,hybrid_tests,high_order_local_system
src/validation/task033_high_order_floquet_fixtures.py,qualified_fixture,include,accepted_case090,unchanged,test_backed,case090_tests,analytic_oracles
src/test/test_14_stage4_dtn_modes.py,regression_test,include,accepted_high_order,unchanged,test_backed,pytest,stage4_anchor
src/test/test_17_3d_high_order_floquet_trace.py,regression_test,include,accepted_high_order,unchanged,test_backed,pytest,floquet_anchor
src/test/test_26_documentation_contract.py,documentation_test,include,review_v6_current,unchanged,test_backed,pytest,docs_contract
src/test/test_33_task032_mode_classification.py,regression_test,include,accepted_qep,unchanged,test_backed,pytest,task32_anchor
src/test/test_43_task033_high_order_entity_transform.py,task033_test,include,accepted_high_order,unchanged,test_backed,pytest,entity_transform
src/test/test_44_task033_fixture_oracles.py,task033_test,include,accepted_case090,unchanged,test_backed,pytest,oracles
src/test/test_45_task033_resource_gates.py,task033_test,include,review_v6_calibration,unchanged,test_backed,pytest,resource_model
src/test/test_46_task033_high_order_floquet_topology.py,task033_test,include,accepted_high_order,unchanged,test_backed,pytest,topology
src/test/test_47_task033_fixture_a_pde.py,task033_test,include,accepted_case090,unchanged,test_backed,pytest,fixture_a
src/test/test_48_task033_cross_section_exact_constraints.py,task033_test,include,accepted_qep,unchanged,test_backed,pytest,cross_section
src/test/test_49_task033_lossy_fresnel.py,task033_test,include,accepted_case090,unchanged,test_backed,pytest,fixture_b
src/test/test_50_task033_high_order_qep_trace.py,task033_test,include,accepted_qep,unchanged,test_backed,pytest,qep_trace
src/test/test_51_task033_fixture_b_pde.py,task033_test,include,accepted_case090,unchanged,test_backed,pytest,fixture_b_pde
src/test/test_52_task033_high_order_matched_trace.py,task033_test,include,accepted_phaseB,unchanged,test_backed,pytest,matched_trace
src/test/test_53_task033_high_order_hybrid_components.py,task033_test,include,accepted_hybrid,unchanged,test_backed,pytest,hybrid_components
src/test/test_54_task033_qep_measurement_matrix.py,task033_test,include,accepted_qep,unchanged,test_backed,pytest,qep_measurement
src/test/test_56_task033_case090_pde_core_records.py,task033_test,include,accepted_case090,unchanged,test_backed,pytest,pde_records
src/test/test_57_task033_case090_watchdog.py,task033_test,include,accepted_case090,unchanged,test_backed,pytest,case090_watchdog
src/test/test_58_task033_qep_qualification.py,task033_test,include,accepted_qep,unchanged,test_backed,pytest,qep_qualification
src/test/test_59_task033_memory_watchdog_contract.py,task033_test,include,accepted_resource_gate,unchanged,test_backed,pytest,memory_watchdog
src/test/test_60_task033_hybrid_funnel.py,task033_test,include,accepted_phaseC,unchanged,test_backed,pytest,hybrid_funnel
src/test/test_66_task033_matched_trace_qualification.py,task033_test,include,accepted_phaseB,unchanged,test_backed,pytest,trace_qualification
src/test/test_67_task033_phaseC.py,task033_test,include,accepted_phaseC,unchanged,test_backed,pytest,phaseC
src/test/test_68_task033_full3d_watchdog.py,task033_test,include,accepted_resource_gate,unchanged,test_backed,pytest,full3d_watchdog
src/test/test_69_task033_phaseD.py,task033_test,include,review_v6_f0,unchanged,test_backed,pytest,source_and_d2
src/test/test_70_task033_reduced_equal_accuracy.py,task033_test,include,review_v6_f0,unchanged,test_backed,pytest,d1_aggregate
src/test/test_71_task033_reduced_scope_completion.py,completion_test,include,review_v6_f0,unchanged,test_backed,pytest,completion_record
src/test/test_72_task033_variable_p_capability.py,task033_test,include,accepted_fail_closed,unchanged,test_backed,pytest,d2_master_compatible
benchmarks/run_task033_adaptive_mesh.py,adaptive_prototype,exclude,transferred,unchanged,not_qualified,review_v6,next_task
src/geometry/task033_periodic_graded_mesh.py,adaptive_prototype,exclude,transferred,unchanged,not_qualified,review_v6,next_task
src/test/test_55_task033_periodic_graded_mesh.py,adaptive_prototype_test,exclude,transferred,unchanged,not_qualified,review_v6,next_task
src/test/test_54_task033_interface_buffer_meshes.py,buffer_prototype_test,exclude,deferred,unchanged,not_qualified,review_v6,waits_for_defect_geometry
src/test/test_57_task033_capability_and_projection.py,mixed_unqualified_test,exclude,transferred,unchanged,not_qualified,review_v6,replaced_by_test72_for_d2
benchmarks/run_task033_one_tib_projection.py,one_tib_projection,exclude,transferred,unchanged,not_qualified,review_v6,next_task
benchmarks/task033_one_tib_projection.py,one_tib_projection,exclude,transferred,unchanged,not_qualified,review_v6,next_task
benchmarks/run_task033_equal_accuracy.py,old_full_matrix_path,exclude,original_full_scope,unchanged,not_qualified,review_v6,replaced_by_reduced_aggregate
benchmarks/task033_equal_accuracy.py,old_full_matrix_path,exclude,original_full_scope,unchanged,not_qualified,review_v6,replaced_by_reduced_aggregate
benchmarks/check_task033.py,full_scope_campaign,exclude,original_full_scope_not_run,unchanged,not_current_completion,formal_not_run,use_reduced_checker
benchmarks/run_task033_final_outcome.py,full_scope_campaign,exclude,original_full_scope_not_run,unchanged,not_current_completion,review_v6,no_auto_full_scope
benchmarks/task033_final_outcome.py,full_scope_campaign,exclude,original_full_scope_not_run,unchanged,not_current_completion,review_v6,no_auto_full_scope
benchmarks/run_task033_formal_records.py,full_scope_campaign,exclude,original_full_scope_not_run,unchanged,not_current_completion,review_v6,no_auto_full_scope
benchmarks/task033_formal_records.py,full_scope_campaign,exclude,original_full_scope_not_run,unchanged,not_current_completion,review_v6,no_auto_full_scope
benchmarks/task033_evidence_checker.py,full_scope_campaign,exclude,original_full_scope_not_run,unchanged,not_current_completion,review_v6,use_reduced_checker
benchmarks/scripts/run_task033_formal.ps1,full_scope_campaign,exclude,original_full_scope_not_run,unchanged,not_current_completion,review_v6,no_auto_campaign
src/test/test_61_task033_evidence_checker.py,full_scope_campaign_test,exclude,original_full_scope_not_run,unchanged,not_current_completion,review_v6,use_completion_test
src/test/test_62_task033_formal_records.py,full_scope_campaign_test,exclude,original_full_scope_not_run,unchanged,not_current_completion,review_v6,no_auto_campaign
src/test/test_63_task033_equal_accuracy.py,old_full_matrix_test,exclude,original_full_scope,unchanged,not_current_completion,review_v6,replaced_by_test70
src/test/test_64_task033_campaign_script.py,full_scope_campaign_test,exclude,original_full_scope_not_run,unchanged,not_current_completion,review_v6,no_auto_campaign
src/test/test_65_task033_final_outcome.py,full_scope_campaign_test,exclude,original_full_scope_not_run,unchanged,not_current_completion,review_v6,use_completion_test
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/run.sh,full_scope_campaign,exclude,original_full_scope_not_run,unchanged,not_current_completion,review_v6,no_auto_campaign
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/adaptive_p2_h3_plan.json,adaptive_plan,exclude,transferred,unchanged,historical_only,review_v6,documented_in_outcomes
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/adaptive_p2_h5_plan.json,adaptive_plan,exclude,transferred,unchanged,historical_only,review_v6,documented_in_outcomes
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/qep_matrix_plan.json,planning_dependency,include,historical_not_run,unchanged,planning_only,review_v6,required_by_qep_contract_tests
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/resource_matrix.csv,planning_dependency,include,historical_not_run,unchanged,planning_only,review_v6,required_by_launch_guard_contracts
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/resource_matrix.json,planning_dependency,include,historical_not_run,unchanged,planning_only,review_v6,required_by_launch_guard_contracts
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/final_outcome_schema.json,full_scope_schema,exclude,original_full_scope_not_run,unchanged,historical_only,review_v6,no_auto_full_scope
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/formal_evidence_manifest_schema.json,full_scope_schema,exclude,original_full_scope_not_run,unchanged,historical_only,review_v6,no_auto_full_scope
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/formal_publication_descriptor_schema.json,full_scope_schema,exclude,original_full_scope_not_run,unchanged,historical_only,review_v6,no_auto_full_scope
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/one_tib_projection_schema.json,one_tib_projection,exclude,transferred,unchanged,not_qualified,review_v6,next_task
benchmarks/records/benchmark_gate_report.json,global_generated_report,exclude,branch_generated,unchanged,not_task33_merge_evidence,review_v6,avoid_global_report_drift
